# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "16" "-s" "2" "-p" "-O" "-F" "SAF" "-a" "../pause_region_analysis/annotations/for_ratio/gene_body_regions.saf" "-o" "../pause_region_analysis/counts/genebody_counts_250down_tes.antisense.txt" "../tmp_forcounts//1_DW1_S10_L006.sorted.bam" "../tmp_forcounts//2_EW1_S11_L006.sorted.bam" "../tmp_forcounts//3_2D1_S12_L006.sorted.bam" "../tmp_forcounts//4_2E1_S13_L006.sorted.bam" "../tmp_forcounts//5_DW2_S14_L006.sorted.bam" "../tmp_forcounts//6_EW2_S15_L006.sorted.bam" "../tmp_forcounts//7_2D2_S16_L006.sorted.bam" "../tmp_forcounts//8_2E2_S17_L006.sorted.bam" "../tmp_forcounts//SOF1_DMSO_U2OS_PRO_1_S3_L002.sorted.bam" "../tmp_forcounts//SOF1_DMSO_U2OS_PRO_2_S7_L002.sorted.bam" "../tmp_forcounts//SOF1_E2_U2OS_PRO_1_S4_L002.sorted.bam" "../tmp_forcounts//SOF1_E2_U2OS_PRO_2_S8_L002.sorted.bam" "../tmp_forcounts//U2OS_DMSO_DBM_1_S22_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_DBM_2_S26_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_SOF3_1_S20_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_SOF3_2_S24_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_DBM_1_S23_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_DBM_2_S27_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_SOF3_1_S21_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_SOF3_2_S25_L007.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../tmp_forcounts//1_DW1_S10_L006.sorted.bam	../tmp_forcounts//2_EW1_S11_L006.sorted.bam	../tmp_forcounts//3_2D1_S12_L006.sorted.bam	../tmp_forcounts//4_2E1_S13_L006.sorted.bam	../tmp_forcounts//5_DW2_S14_L006.sorted.bam	../tmp_forcounts//6_EW2_S15_L006.sorted.bam	../tmp_forcounts//7_2D2_S16_L006.sorted.bam	../tmp_forcounts//8_2E2_S17_L006.sorted.bam	../tmp_forcounts//SOF1_DMSO_U2OS_PRO_1_S3_L002.sorted.bam	../tmp_forcounts//SOF1_DMSO_U2OS_PRO_2_S7_L002.sorted.bam	../tmp_forcounts//SOF1_E2_U2OS_PRO_1_S4_L002.sorted.bam	../tmp_forcounts//SOF1_E2_U2OS_PRO_2_S8_L002.sorted.bam	../tmp_forcounts//U2OS_DMSO_DBM_1_S22_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_DBM_2_S26_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_SOF3_1_S20_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_SOF3_2_S24_L007.sorted.bam	../tmp_forcounts//U2OS_E2_DBM_1_S23_L007.sorted.bam	../tmp_forcounts//U2OS_E2_DBM_2_S27_L007.sorted.bam	../tmp_forcounts//U2OS_E2_SOF3_1_S21_L007.sorted.bam	../tmp_forcounts//U2OS_E2_SOF3_2_S25_L007.sorted.bam
NM_001278689.2	chr3	68975224	69013434	-	38211	732	722	698	689	809	712	394	451	298	263	340	267	623	345	407	373	439	358	461	417
NM_007114.3	chr3	69019826	69052083	-	32258	689	630	715	781	724	667	446	478	293	326	285	261	599	458	397	350	516	412	461	494
NM_006407.4	chr3	69085186	69106092	+	20907	157	146	312	237	177	157	193	167	87	77	78	45	188	137	153	159	128	103	159	143
NM_198271.5	chr3	69106064	69122345	-	16282	6	3	14	16	7	0	6	2	0	0	1	0	1	1	0	0	0	0	0	1
NM_018971.3	chr3	71754104	71756496	+	2393	25	16	27	17	10	21	9	5	17	20	16	8	30	16	12	18	9	16	17	12
NM_001126128.2	chr3	71771654	71784898	-	13245	3	1	3	3	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0
NM_012234.7	chr3	72374596	72446373	-	71778	2929	3616	3705	4451	3342	3702	2487	2863	1098	1137	1529	1392	2659	1957	2100	1957	2116	1967	2558	2808
NM_018130.3	chr3	72749276	72848195	-	98920	1037	1115	1354	1539	1194	1116	836	972	516	533	421	443	990	671	825	685	751	574	909	918
NM_001080393.2	chr3	72888295	72976915	+	88621	2969	2960	4312	3429	3476	3021	2544	2058	1929	2193	1680	1437	3950	2752	1998	1661	2798	2382	1765	1781
NM_018029.4	chr3	73061908	73063337	+	1430	91	95	99	170	96	96	63	85	35	23	35	33	73	65	60	58	50	57	47	76
NM_001124759.5	chr3	75664577	75667173	+	2597	2	1	1	1	3	1	0	0	0	0	0	0	0	0	1	0	1	0	3	1
NM_016206.4	chr3	86937972	86990899	-	52928	1134	1339	729	753	1163	1446	447	463	294	271	331	310	800	574	318	270	597	657	303	396
NM_014043.4	chr3	87227558	87255556	+	27999	498	460	664	623	535	465	391	361	218	251	224	198	569	478	532	419	455	437	415	560
NM_000306.4	chr3	87259403	87276334	-	16932	1	0	2	3	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
NM_001008390.2	chr3	88051949	88058755	-	6807	1165	1291	1680	1599	1337	1192	901	1002	433	429	509	363	1173	895	1202	1037	990	818	1241	1486
NM_173824.4	chr3	88150208	88157965	+	7758	430	425	538	533	496	389	378	362	137	163	157	132	435	323	389	376	273	331	435	406
NM_000313.4	chr3	93873050	93973646	-	100597	363	401	637	469	431	376	367	352	140	153	150	90	309	227	216	163	174	194	206	190
NM_001174150.2	chr3	93980404	94055678	+	75275	1528	1495	1904	1985	1533	1560	1161	1226	513	475	494	501	1245	774	1305	1054	941	725	1259	1279
NM_001001850.3	chr3	94014364	94028347	-	13984	6	1	3	6	5	3	5	2	0	0	0	0	0	0	1	6	1	0	0	0
NM_176815.5	chr3	94057921	94062666	-	4746	334	409	485	488	371	393	278	264	108	142	171	107	300	170	251	266	199	185	348	288
NM_153182.4	chr3	97941817	97972181	-	30365	570	679	746	892	613	645	510	521	340	371	280	248	639	469	678	524	473	400	604	648
NM_001105580.3	chr3	97985101	98035065	-	49965	17	15	19	19	26	5	5	8	0	0	0	0	0	1	0	2	0	0	2	2
NM_001005338.2	chr3	98130970	98138548	+	7579	4	2	13	5	10	3	5	5	1	2	1	0	3	4	0	6	4	3	4	1
NM_001005514.2	chr3	98147728	98156614	+	8887	0	3	3	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0
NM_001005515.2	chr3	98166945	98169774	+	2830	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005479.2	chr3	98264493	98265356	+	864	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005482.2	chr3	98282754	98284070	+	1317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004736.4	chr3	98463450	98472924	+	9475	1	1	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
NM_001040181.2	chr3	98515482	98522652	-	7171	483	492	736	664	520	439	384	435	233	207	207	182	486	393	403	399	345	407	497	527
NM_005290.4	chr3	98532227	98534681	+	2455	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_000097.7	chr3	98579445	98593361	-	13917	359	371	510	619	343	399	341	341	148	139	173	144	360	254	349	315	237	259	336	281
NM_001323368.2	chr3	98763589	98795852	+	32264	207	191	215	148	271	168	130	129	91	75	90	61	218	157	222	162	169	146	172	141
NM_020202.5	chr3	100335006	100361635	+	26630	579	609	1052	997	596	681	705	608	285	308	249	273	561	462	729	625	432	355	730	778
NM_014820.5	chr3	100363430	100400839	-	37410	1372	1444	2297	2261	1536	1562	1425	1266	505	510	603	432	1233	860	1618	1409	995	885	1642	1719
NM_001085451.2	chr3	100401788	100456319	+	54532	1749	1677	3522	3068	1948	1797	2074	1833	899	897	758	623	1860	1306	2132	1786	1317	1338	1953	1838
NM_006070.6	chr3	100709743	100748964	+	39222	2403	2387	3693	3521	2691	2499	2327	2222	652	755	763	732	1935	1503	2288	1989	1476	1299	2589	2515
NM_017819.4	chr3	101562117	101566446	+	4330	240	265	382	326	293	280	272	271	86	68	92	93	250	145	288	213	177	166	313	264
NM_014415.4	chr3	101648888	101676882	-	27995	427	432	745	843	589	498	471	469	171	176	210	161	419	328	497	490	325	204	545	574
NM_000986.4	chr3	101681090	101686468	-	5379	832	905	1214	1134	884	919	826	774	377	351	309	240	783	503	774	736	537	510	854	956
NM_024548.4	chr3	101724863	101770562	+	45700	967	940	1841	1763	1152	1047	1059	1111	370	320	338	361	823	540	882	748	508	457	840	934
NM_145037.4	chr3	101779460	101828231	+	48772	906	882	1517	1391	986	903	833	896	470	467	438	396	1097	879	1279	957	785	683	1213	1184
NM_031419.4	chr3	101849763	101861022	+	11260	1702	1439	2288	1803	1883	1377	1314	1088	548	657	513	328	1235	825	1417	1140	940	841	1218	1227
NM_001329788.2	chr3	102435264	102479841	+	44578	11	11	9	3	13	8	4	4	2	0	0	0	1	0	8	3	0	1	8	4
NM_032600.3	chr3	107377688	107378635	+	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001777.4	chr3	108043090	108090781	-	47692	393	443	704	654	503	471	418	392	155	159	132	146	335	250	488	360	255	216	464	650
NM_018010.4	chr3	108160811	108222174	-	61364	468	487	873	782	523	520	508	517	173	185	175	174	405	296	513	380	287	276	455	579
NM_001282556.2	chr3	108296797	108378285	+	81489	13	26	29	30	22	19	25	12	8	10	12	13	16	10	10	9	15	22	7	17
NM_020890.3	chr3	108549863	108589188	-	39326	1622	1784	3108	3160	1963	1776	1916	1805	539	416	591	460	1519	1015	2305	1963	1048	1021	2408	2644
NM_032579.3	chr3	108755637	108757160	-	1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_016388.4	chr3	108823035	108855005	+	31971	1	1	5	6	8	1	3	5	0	0	0	0	0	0	1	0	0	0	0	0
NM_001351622.2	chr3	109136968	109151401	+	14434	0	3	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_018189.4	chr3	109326143	109337296	-	11154	2	1	6	8	2	2	2	1	0	0	3	0	0	0	0	0	0	3	1	1
NM_015480.3	chr3	111072065	111137560	+	65496	686	616	1036	1142	808	638	647	691	235	230	201	166	545	370	574	591	349	297	611	654
NM_024508.5	chr3	111592899	111595096	-	2198	8	6	13	15	8	5	6	2	4	7	4	0	13	5	13	7	3	2	6	11
NM_001413064.1	chr3	111674925	111727007	+	52083	1151	837	1997	1081	1278	820	1110	637	434	507	343	324	1015	728	772	649	783	661	564	572
NM_018394.4	chr3	111979275	111993368	+	14094	429	381	751	650	464	379	445	448	183	187	144	106	414	295	471	425	274	231	481	519
NM_001008272.2	chr3	111999171	112013885	+	14715	170	134	149	109	167	138	79	84	19	21	29	14	50	25	39	21	26	17	45	25
NM_024616.3	chr3	112086638	112118210	+	31573	394	386	389	322	455	390	286	233	168	137	143	134	330	248	292	218	245	196	235	251
NM_152785.5	chr3	112120838	112132998	-	12161	3	0	11	3	5	0	0	1	0	0	0	0	4	1	0	2	1	0	2	0
NM_005944.7	chr3	112333405	112362812	+	29408	399	283	687	563	400	333	484	374	106	137	98	94	327	194	119	135	249	222	104	129
NM_181780.4	chr3	112463965	112499222	-	35258	19	20	31	28	17	24	18	14	8	6	4	9	20	13	14	9	15	1	25	10
NM_022488.5	chr3	112532509	112561712	-	29204	934	917	1401	1280	1045	955	797	799	274	286	352	217	777	610	942	721	617	568	962	948
NM_017945.5	chr3	112562294	112585579	+	23286	812	857	1209	1022	800	794	712	618	285	266	345	263	715	479	754	627	516	467	737	852
NM_199511.3	chr3	112596796	112640893	-	44098	739	922	1242	1141	706	872	753	731	307	369	320	218	661	538	467	399	525	406	409	400
NM_001199215.3	chr3	112815710	112846614	-	30905	2	0	5	1	2	2	1	1	0	0	0	0	1	0	8	11	0	0	13	7
NM_138806.4	chr3	112921204	112974853	-	53650	11	6	15	11	32	8	3	14	1	1	0	1	0	0	7	8	3	0	5	20
NM_014170.4	chr3	112991233	113001969	+	10737	365	370	574	516	393	377	342	276	159	116	135	121	324	231	383	398	257	233	499	530
NM_015412.4	chr3	113002443	113019421	-	16979	840	896	1192	1221	928	919	781	706	310	320	351	283	667	537	868	820	551	474	910	943
NM_017699.3	chr3	113532804	113629575	+	96772	33	35	52	42	34	22	27	28	5	3	8	0	19	11	21	27	14	14	32	31
NM_001009899.4	chr3	113648384	113696392	-	48009	1302	1499	1984	2000	1448	1425	1126	1238	465	525	598	465	1022	785	1134	905	705	631	1252	1234
NM_025146.4	chr3	113716457	113745999	-	29543	1982	2366	2824	3296	2216	2591	1759	2075	598	624	646	579	1533	1172	2013	1666	1195	1054	2433	2547
NM_001320466.2	chr3	113948262	113963373	+	15112	212	245	227	239	256	246	126	183	83	92	83	52	126	105	165	143	77	70	188	164
NM_024638.4	chr3	114056986	114088422	+	31437	826	995	1379	1396	992	1131	726	835	334	415	304	237	804	540	898	714	575	534	1113	968
NM_007136.4	chr3	114234630	114237328	-	2699	4	0	10	13	1	3	5	0	0	0	0	0	2	1	0	0	0	0	1	0
NM_002045.4	chr3	115623759	115721483	+	97725	394	406	770	579	477	361	396	374	163	185	155	121	377	298	457	381	261	250	542	475
NR_015391.2	chr3	116710028	116717036	+	7009	2	1	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
NM_152539.3	chr3	119146414	119151456	+	5043	2	0	0	0	0	0	2	4	0	3	0	0	0	0	0	1	0	0	0	0
NM_006952.4	chr3	119173847	119205143	+	31297	5	9	18	13	16	9	2	1	2	0	0	0	0	1	6	2	2	3	3	2
NM_003778.4	chr3	119211741	119240628	-	28888	1072	944	1618	1367	1134	1029	1044	839	429	483	488	392	1048	753	1176	862	850	679	1159	1004
NM_018266.3	chr3	119428948	119463365	-	34418	1745	1885	2772	2609	1947	1901	1680	1565	651	669	631	575	1535	1081	1689	1514	1231	1056	1877	1932
NM_152305.3	chr3	119469212	119494708	+	25497	284	373	473	530	394	376	257	350	136	136	112	134	262	171	330	242	227	167	358	356
NM_016589.4	chr3	119498796	119525090	+	26295	994	1113	1538	1547	1212	1153	916	962	533	389	438	322	913	726	1117	959	734	685	1189	1068
NM_001125.4	chr3	119579741	119589945	+	10205	248	281	415	319	245	285	222	214	112	109	137	117	256	193	284	200	154	162	256	259
NM_015900.4	chr3	119598134	119629811	+	31678	15	41	26	89	9	38	17	33	3	4	8	7	4	8	4	5	0	1	29	22
NM_001369919.2	chr3	119642055	119660339	-	18285	91	81	203	214	105	94	154	149	58	52	30	27	61	55	118	101	67	39	111	139
NM_005694.2	chr3	119669531	119677156	-	7626	370	430	779	659	437	387	482	393	169	186	183	193	407	277	515	441	330	256	497	532
NM_033364.4	chr3	119703271	119767102	+	63832	10	8	15	7	6	6	5	6	5	8	7	1	13	4	0	0	2	1	2	0
NM_001099678.2	chr3	120324508	120349104	-	24597	816	884	1447	1364	952	976	851	808	333	328	331	271	734	582	1090	890	553	581	1101	1089
NM_007085.5	chr3	120392292	120450742	-	58451	3020	3416	4843	4294	3680	3292	2885	2595	2038	2065	1864	1674	4035	2838	5785	4773	2627	2548	5145	5077
NM_004547.6	chr3	120596585	120602507	+	5923	436	550	757	717	488	543	516	473	287	243	239	222	434	348	612	579	327	349	688	644
NM_000187.4	chr3	120628171	120681989	-	53819	88	112	181	220	140	113	100	118	34	69	38	56	66	30	141	111	46	37	126	118
NM_005513.3	chr3	120742993	120783069	+	40077	825	891	1329	1334	849	961	808	875	345	419	293	253	800	549	897	763	504	518	854	943
NM_001012659.2	chr3	121568198	121590622	+	22425	8	3	10	7	5	6	4	6	0	0	0	0	0	0	3	0	0	0	1	0
NM_016298.4	chr3	121593628	121630295	+	36668	5	7	10	10	8	4	2	5	0	0	0	0	1	1	0	0	0	0	0	0
NM_001366282.2	chr3	121663200	121749491	-	86292	2331	2693	3422	3474	2588	2607	2185	2029	876	843	971	837	1977	1579	2199	1928	1444	1330	2387	2287
NM_001023570.4	chr3	121769760	121834810	-	65051	1678	1784	2803	2833	1855	2063	1779	1750	588	568	670	450	1523	1129	1934	1620	1162	1064	1954	1896
NM_018456.6	chr3	121835458	121886526	+	51069	81	79	103	125	68	71	58	101	12	5	26	21	66	45	77	74	51	29	78	100
NM_001199799.2	chr3	121987322	122021997	-	34676	54	57	88	52	58	42	46	39	17	17	14	6	17	14	18	14	19	8	26	19
NM_175862.5	chr3	122055611	122121136	+	65526	20	16	24	17	28	14	18	16	6	4	3	7	13	6	8	6	5	6	13	2
NM_005213.4	chr3	122325497	122341969	+	16473	56	46	109	65	56	43	58	35	5	14	16	17	30	24	25	20	29	18	15	21
NM_001017928.4	chr3	122359590	122382981	-	23392	611	662	1093	1069	720	740	701	659	250	200	251	283	615	392	711	656	392	441	862	915
NM_014367.4	chr3	122384431	122412334	+	27904	199	180	351	269	205	178	210	208	48	86	83	56	162	135	214	185	100	101	190	207
NM_019069.4	chr3	122411845	122415812	-	3968	340	374	606	546	413	448	378	345	161	187	207	147	363	258	353	259	261	170	338	309
NM_002264.4	chr3	122421901	122514689	-	92789	3084	3336	5143	5140	3578	3428	3086	3220	984	1184	1242	1055	2744	2102	3747	2888	2141	1878	3676	3797
NM_138287.3	chr3	122564587	122575203	+	10617	534	570	1262	1043	646	536	715	704	173	163	177	169	419	274	579	460	329	260	534	549
NM_001113523.3	chr3	122577899	122639047	+	61149	32	21	56	44	31	16	25	28	4	9	3	8	10	8	24	35	1	3	21	11
NM_024610.6	chr3	122739998	122793581	-	53584	982	904	1316	1436	981	998	826	800	299	347	336	328	682	451	682	627	480	506	803	806
NM_198402.5	chr3	123491553	123584803	-	93251	945	1124	2212	2270	1170	1115	1276	1467	435	436	502	397	1093	772	1128	1048	761	628	1134	1211
NM_001366335.1	chr3	123913421	123960979	-	47559	2554	2602	5021	5247	2817	2767	3119	3091	692	779	801	658	2017	1470	2512	1960	1521	1286	2600	2762
NM_001317774.2	chr3	123969014	123991874	-	22861	31	38	63	59	34	23	34	26	9	9	8	1	24	17	29	27	16	8	22	35
NM_000373.4	chr3	124730701	124749273	+	18573	1902	1881	2997	2685	1931	1891	1840	1927	616	650	659	554	1323	1050	1991	1681	1012	977	2204	2127
NM_003794.4	chr3	125446649	125519952	-	73304	1232	1285	2076	2199	1399	1424	1378	1458	570	514	540	444	1278	969	1547	1381	865	844	1704	1830
NM_001308313.2	chr3	125969427	125983454	+	14028	38	33	91	54	41	31	31	43	15	2	21	19	34	28	13	18	34	9	24	39
NM_017836.4	chr3	126006356	126083874	-	77519	1117	1320	1862	1921	1243	1281	1079	1326	430	472	488	360	776	543	817	788	495	489	968	955
NM_012190.4	chr3	126103569	126180336	-	76768	279	346	568	507	342	306	323	373	128	161	179	161	293	222	498	454	195	165	467	482
NM_182628.3	chr3	126395158	126436556	+	41399	10	10	20	11	6	2	4	4	0	0	1	0	0	0	0	0	1	0	0	0
NM_025112.5	chr3	126437600	126475641	-	38042	2405	2501	3815	3905	2595	2396	2312	2590	1021	1207	1113	969	1776	1281	2305	2079	1293	1101	2387	2445
NM_152889.3	chr3	126524404	126543291	+	18888	10	7	51	38	11	6	20	20	1	3	0	0	1	0	20	18	7	3	12	11
NM_152533.3	chr3	126549691	126558682	-	8992	3	5	5	5	6	0	4	1	0	1	0	0	2	2	1	0	0	0	4	1
NM_001007534.2	chr3	127193380	127198185	+	4806	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0
NM_001362810.2	chr3	127283782	127287796	-	4015	6	3	21	5	9	4	10	1	0	2	3	0	2	0	5	0	4	0	1	2
NM_001136053.4	chr3	127571231	127590483	-	19253	366	400	551	524	379	343	318	361	241	249	294	203	382	256	294	290	230	226	305	305
NM_004526.4	chr3	127598660	127622436	+	23777	1929	2022	3673	3279	2121	2020	2195	2189	829	870	744	560	1242	833	1574	1228	996	877	1528	1532
NM_172027.3	chr3	127673201	127680926	+	7726	302	287	360	354	340	248	224	263	120	116	138	119	171	115	102	93	124	81	139	137
NM_003707.3	chr3	128080809	128123562	-	42754	1015	1125	1742	2038	1148	1212	1199	1258	543	427	565	414	910	640	1014	896	672	604	990	1037
NM_153330.6	chr3	128462436	128466640	-	4205	2	0	5	5	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_032638.5	chr3	128479426	128492951	-	13526	26	44	144	116	35	24	61	51	11	16	9	6	30	10	47	61	8	10	53	47
NM_002950.4	chr3	128619968	128650568	-	30601	1203	1276	1802	1803	1245	1339	1239	1200	669	628	645	586	1144	905	1153	1018	903	839	1221	1090
NM_004637.6	chr3	128726432	128814798	+	88367	3290	3471	4445	4856	3562	3437	2920	3241	1400	1233	1390	1278	2734	1755	2663	2348	2026	1804	2867	2922
NM_014049.5	chr3	128879869	128913114	+	33246	1408	1537	2268	2384	1503	1531	1439	1664	756	651	688	633	1244	866	1325	1195	774	717	1354	1403
NM_001377500.1	chr3	129001553	129040742	+	39190	234	196	460	432	276	204	299	313	109	104	137	96	180	138	192	146	106	97	148	140
NM_000174.5	chr3	129061028	129062406	+	1379	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NM_020701.4	chr3	129127414	129160813	-	33400	777	757	1086	1041	767	751	667	650	395	456	334	372	663	484	681	573	524	453	754	792
NM_003418.5	chr3	129167826	129183646	-	15821	1735	1899	2793	2444	1890	1984	1586	1631	700	672	692	601	1474	1117	1491	1335	1081	1100	1621	1607
NM_016128.4	chr3	129249855	129277773	+	27919	2265	2277	3078	3014	2439	2164	1942	2071	1139	1125	1128	968	1778	1224	1385	1153	1331	1093	1407	1564
NM_020187.3	chr3	129279119	129306186	+	27068	561	533	880	887	616	537	549	609	234	261	292	228	491	440	559	457	370	331	644	607
NM_006026.4	chr3	129314770	129316036	-	1267	1314	1073	2271	1604	1577	1062	1168	990	604	733	599	453	1008	716	912	820	734	614	1050	976
NM_207307.3	chr3	129401320	129428386	-	27067	291	259	574	604	340	308	332	307	173	125	143	126	221	161	299	177	158	113	245	219
NM_001276270.2	chr3	129430946	129439698	-	8753	293	299	547	518	293	332	321	288	179	109	100	85	238	205	315	258	202	219	366	311
NM_000539.3	chr3	129528888	129535344	+	6457	2	4	3	10	1	3	5	3	3	4	1	0	5	3	3	2	0	0	0	1
NM_153833.3	chr3	129543424	129551467	+	8044	1	0	7	4	1	0	0	2	0	0	0	0	1	3	1	3	0	0	0	0
NM_015103.3	chr3	129555213	129606426	-	51214	1697	1524	2406	1953	1778	1457	1409	1211	601	593	717	483	937	635	1300	1049	611	494	1274	1455
NM_007117.5	chr3	129974969	129977935	+	2967	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001136152.1	chr3	130082080	130098390	+	16311	12	5	30	22	9	5	9	17	2	0	1	0	4	0	11	13	2	0	14	6
NM_014602.3	chr3	130678933	130746579	-	67647	1143	1098	1519	1512	1164	1110	869	857	414	391	400	326	835	603	1058	823	608	642	1098	1037
NM_014065.4	chr3	131013874	131026575	-	12702	289	316	436	422	327	326	332	254	164	171	136	111	300	216	304	263	256	214	320	312
NM_152395.3	chr3	131382023	131388830	+	6808	188	201	265	227	175	188	212	134	192	106	110	106	235	175	263	250	144	142	285	195
NM_001099.5	chr3	132317656	132358841	+	41186	9	11	36	17	5	8	5	8	9	3	4	1	5	5	8	16	2	8	15	3
NM_016557.4	chr3	132597519	132602644	+	5126	4	5	17	0	4	2	2	2	0	0	0	1	1	0	6	6	1	0	2	1
NM_024818.6	chr3	132660578	132679794	+	19217	346	401	529	510	425	425	348	388	142	104	152	66	405	268	456	351	337	268	439	455
NM_153240.5	chr3	132680608	132722159	-	41552	911	891	993	1025	1032	906	616	601	324	360	372	333	785	642	671	525	591	564	604	663
NM_017548.5	chr3	133573935	133590261	+	16327	2009	2125	2172	1989	2145	2224	1407	1319	965	1030	1090	842	2441	1887	2044	1602	1834	1807	1896	1899
NM_007027.4	chr3	133600237	133661691	-	61455	2654	2620	3843	3687	2729	2737	2328	2229	673	663	727	651	1931	1408	2220	1930	1433	1388	2421	2487
NM_001063.4	chr3	133746642	133796641	+	50000	11	12	20	23	23	15	9	10	5	3	10	4	5	9	6	1	4	1	2	4
NM_001379313.1	chr3	133806064	133821492	+	15429	215	244	296	336	210	249	170	226	157	107	105	54	239	189	214	195	180	167	206	211
NM_016201.4	chr3	134355346	134374197	-	18852	5768	8194	8713	9921	6199	7686	5426	6714	3333	3330	3425	3018	5085	3726	4815	4218	3793	3126	5718	6322
NM_001353108.3	chr3	134486306	134565031	+	78726	1092	1330	2077	2036	1262	1291	1263	1341	449	526	479	378	962	645	900	782	705	638	905	843
NM_001291999.2	chr3	136862457	136951606	+	89150	741	732	1190	1269	780	797	801	774	263	332	320	244	712	426	567	427	511	377	484	528
NM_004189.4	chr3	137764564	137766334	+	1771	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
NM_173543.3	chr3	138061989	138115358	-	53370	1400	1241	2340	2062	1448	1349	1474	1405	611	629	567	484	1226	856	884	749	768	665	924	1015
NM_016161.3	chr3	138123712	138132140	-	8429	5	9	6	11	6	3	2	4	0	0	2	0	4	3	0	0	1	0	3	0
NM_016216.4	chr3	138160987	138174671	-	13685	191	292	450	428	293	271	256	293	110	95	100	87	227	192	235	182	181	139	200	246
NM_001349018.2	chr3	138300998	138329601	-	28604	20	8	50	32	22	13	15	20	11	9	2	0	4	3	0	3	7	6	2	0
NM_001085049.3	chr3	138348828	138405533	+	56706	904	833	1328	1139	884	827	847	853	573	593	476	384	987	601	663	511	685	483	589	593
NM_031913.5	chr3	138434865	138479925	+	45061	178	173	312	290	151	130	206	217	61	101	71	37	136	99	91	76	93	82	80	97
NM_001033031.2	chr3	138609020	138633376	+	24357	429	410	859	690	424	435	511	444	197	198	143	125	392	327	332	248	345	241	335	338
NM_023067.4	chr3	138944223	138946887	-	2665	0	1	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
NM_001040061.3	chr3	138947466	138953990	+	6525	17	13	13	14	25	12	3	6	12	5	5	4	7	11	1	0	5	8	2	0
NM_001134659.1	chr3	139003961	139006018	-	2058	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NM_001013650.2	chr3	139019030	139020676	-	1647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001134657.1	chr3	139042101	139044642	-	2542	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NM_020191.4	chr3	139344269	139357129	+	12861	327	389	613	570	393	394	316	328	171	194	214	137	322	228	279	220	262	168	291	343
NM_004766.3	chr3	139357405	139389397	-	31993	903	982	1473	1509	1035	1023	945	956	326	384	448	309	840	584	659	572	654	568	797	714
NM_002899.5	chr3	139517437	139539492	-	22056	1343	1177	2649	1993	1427	1228	1661	1323	923	1104	766	705	1602	1116	739	577	1030	891	643	745
NM_152616.5	chr3	140678313	140701150	+	22838	5	0	3	3	5	2	2	2	0	0	0	0	0	0	0	1	0	0	0	0
NM_001104647.3	chr3	140942085	140980995	+	38911	896	942	1448	1303	980	1012	911	857	214	203	258	178	592	480	638	616	524	450	747	984
NM_080862.3	chr3	141051596	141148611	+	97016	474	524	933	746	574	509	508	494	286	233	199	254	417	301	424	369	291	254	329	416
NM_001037172.3	chr3	141232074	141294924	+	62851	460	401	603	491	549	406	388	358	171	204	235	175	387	293	298	270	288	246	292	262
NM_014245.5	chr3	141738547	141747560	+	9014	395	387	585	598	416	439	373	358	158	184	118	111	386	248	298	244	286	208	332	268
NM_139209.3	chr3	141763657	141819352	+	55696	41	45	60	83	48	62	41	46	25	44	17	11	32	27	12	24	30	18	20	21
